,company,title
0,Pak Suzuki Motor Company Limited,Assistant Manager
1,The Indus Hospital,Assistant Manager
2,ibex. Pakistan,Process Coordinator
3,The Indus Hospital,Medical Officer
4,The Indus Hospital,Patient and Family Educator - MCM Project
5,EBM,Human Resources Officer
6,The Indus Hospital,Senior Officer
7,Dawlance,Specialist Ordering(contractual)
8,S.M. Suhail & Co. Chartered Accountants,Audit Supervisor
9,The Indus Hospital,"Deputy Manager, Cost / Contract"
10,QIMA,Quality Inspector
11,Red Bull,National Consumer Collecting Manager
12,EY,Account Support Associate - Karachi (Rapid)
13,The Indus Hospital,Senior Technician - HVAC
14,Getz Pharma,Assistant Manager - NPD & Technology Transfer
15,NXT LABS,Shopify Marketplace Manager
16,The Indus Hospital,Senior Medical Officer (Evening Shift) - Karachi Based
17,Mashreq,Marketing Manager B2B (Mashreq Digital Bank Limited)
18,Mashreq,Officer - Reconciliation (Mashreq Digital Bank Pakistan)
19,Hue Pret,Brand Development Manger
20,IO DIGITAL,Community Management Executive
21,MENRAS,Business Development Executive
22,ibex. Pakistan,International Customer Service
23,BASF,Management Trainee - Sales
24,Right Placements,Executive Administrative Assistant (Excel)
25,National Foods Limited,International Regulation Specialist
26,Global Industries Intelligence,International Sales Specialist
27,Talent Nexus Bridge,Copywriter
28,The Plumtree Group Global,Account Manager
29,EY,"Central Planning, Budgeting and Financial Analysis Support - Rapid (Karachi)"
30,Hul Hub Pakistan,Senior Software Engineer (.NET)
31,Huevle,Sales Executive
32,Levi Strauss & Co.,Store Manager
33,Decibel HRMS,Specialist - Project Management
34,Next Generation Innovations (NextGENi),Lead .NET Developer
35,Sui Southern Gas Company Limited,Assistant Manager – Financial Audits
36,The Plumtree Group Global,UI\UX Designer
37,NielsenIQ,Junior Desk Research Analyst
38,Gatronova,Cashier
39,NielsenIQ,Junior Desk Research Analyst
40,Afiniti,Production Analyst
41,Consultisor,Customer success & Project Manager
42,Afiniti,Production Analyst
43,Gatronova,MTO - Sales and Marketing
44,Mint Rewards,Grants Writer - Freelancer/Contract
45,Milliman,Credit Risk Modeller
46,Sui Southern Gas Company Limited,Manager – Audits (Consulting Assignments)
47,Consultisor,Customer Success & Project Manager
48,UBL - United Bank Limited,Portfolio Head – Online Payments
49,Zeta Corp,Assistant Manager Integration
50,Afiniti,Production Analyst
51,Sastechsol,Sales Executive
52,TRANSBRIDGE LOGISTICS PAKISTAN (PVT) LTD,Sales Marketing Executive
53,Life Sized Publishing,Business Development Executive
54,Hudson RPO,Senior Talent Acquisition Specialist (Ref:726)
55,Gatronova,Lead HRBP
56,Hul Hub Pakistan,Software Engineer (MEAN Stack)
57,Telenor Microfinance Bank Limited,Executive Manager FI and Home Remittance
58,Haqooq-E-Insaniyat Social Welfare Organization,Resource Development Manager
59,Outwerk Solutions,Calling Executives (Multiple Vacancies)
60,National Foods Limited,International Regulation Specialist
61,Global Industries Intelligence,International Sales Specialist
62,Talent Nexus Bridge,Copywriter
63,The Plumtree Group Global,Account Manager
64,EY,"Central Planning, Budgeting and Financial Analysis Support - Rapid (Karachi)"
65,Hul Hub Pakistan,Senior Software Engineer (.NET)
66,Huevle,Sales Executive
67,Levi Strauss & Co.,Store Manager
68,Decibel HRMS,Specialist - Project Management
69,Next Generation Innovations (NextGENi),Lead .NET Developer
70,Afiniti,Production Analyst
71,Sastechsol,Sales Executive
72,TRANSBRIDGE LOGISTICS PAKISTAN (PVT) LTD,Sales Marketing Executive
73,Life Sized Publishing,Business Development Executive
74,Hudson RPO,Senior Talent Acquisition Specialist (Ref:726)
75,Gatronova,Lead HRBP
76,Hul Hub Pakistan,Software Engineer (MEAN Stack)
77,Telenor Microfinance Bank Limited,Executive Manager FI and Home Remittance
78,Haqooq-E-Insaniyat Social Welfare Organization,Resource Development Manager
79,Outwerk Solutions,Calling Executives (Multiple Vacancies)
80,Remotiv,Digital Marketing Strategist
81,Dotgix Technologies,Call Center Executive
82,S.I. Chemicals,Machine Operator - Flexo Plate Making
83,Tech Horizontal,Book Formatter
84,Scalemill,Sales Development Representative
85,Afiniti,Production Analyst
86,Crossover,"Financial Data Analyst, IgniteTech (Remote) - $30,000/year USD"
87,NXT LABS,Shopify MarketPlace Manager (Night Shift)
88,TriA Tech Solution (Pvt) Ltd,Front Sale person
89,HS AHMED ALLY,Technical Sales Engineer
